batch_size,learning_rate,seed,epoch,train_loss,train_accuracy,test_accuracy,epoch_time
256,0.4,1,1,0.2911674540489912,90.58666666666667,97.96,146.10241222381592
256,0.4,1,2,0.06021609799973568,98.215,98.24,160.26777052879333
256,0.4,1,3,0.04261311209782898,98.68833333333333,98.38,137.70239996910095
256,0.4,1,4,0.03582738495324714,98.955,98.76,134.94290232658386
256,0.4,1,5,0.02991912684656006,99.16333333333333,99.21,141.97165775299072
256,0.4,1,6,0.0249403568529623,99.27666666666667,99.36,137.78613257408142
256,0.4,1,7,0.021952460096415844,99.33,98.9,137.05204224586487
256,0.4,1,8,0.020294794170408848,99.47333333333333,99.39,138.88092756271362
256,0.4,1,9,0.018403516249964013,99.42,99.04,139.4537055492401
256,0.4,1,10,0.016697431392884106,99.51833333333333,99.05,137.59086561203003
256,0.4,1,11,0.014984292278754861,99.555,99.21,137.13073801994324
256,0.4,1,12,0.013858564054851044,99.60333333333334,99.01,143.3580629825592
256,0.4,1,13,0.011255275091973592,99.64333333333333,99.29,139.1116554737091
256,0.4,1,14,0.011891983713200929,99.66,98.85,135.90540289878845
256,0.4,1,15,0.00940629782198812,99.71666666666667,99.4,141.024995803833
,,,Average,,,,140.55211143493653
256,0.4,1,1,0.2911674540489912,90.58666666666667,97.96,92.4999406337738
256,0.4,1,2,0.06021609799973568,98.215,98.24,94.32301688194275
256,0.4,1,3,0.04261311209782898,98.68833333333333,98.38,75.54880428314209
256,0.4,1,4,0.03582738495324714,98.955,98.76,76.07439851760864
256,0.4,1,5,0.02991912684656006,99.16333333333333,99.21,75.56654214859009
256,0.4,1,6,0.0249403568529623,99.27666666666667,99.36,77.01097965240479
256,0.4,1,7,0.021952460096415844,99.33,98.9,75.31075119972229
256,0.4,1,8,0.020294794170408848,99.47333333333333,99.39,77.0191261768341
256,0.4,1,9,0.018403516249964013,99.42,99.04,76.96577715873718
256,0.4,1,10,0.016697431392884106,99.51833333333333,99.05,74.95970368385315
256,0.4,1,11,0.014984292278754861,99.555,99.21,77.01181983947754
256,0.4,1,12,0.013858564054851044,99.60333333333334,99.01,73.7599709033966
256,0.4,1,13,0.011255275091973592,99.64333333333333,99.29,73.62075281143188
256,0.4,1,14,0.011891983713200929,99.66,98.85,74.7735116481781
256,0.4,1,15,0.00940629782198812,99.71666666666667,99.4,74.95329737663269
,,,Average,,,,77.95989286104837
