batch_size,learning_rate,seed,epoch,train_loss,train_accuracy,test_accuracy,epoch_time
256,0.6,1,1,0.3354669661399849,89.08833333333334,97.01,151.40976905822754
256,0.6,1,2,0.06707150488002028,98.1,97.73,155.66943669319153
256,0.6,1,3,0.04935709610680475,98.59333333333333,98.17,136.287841796875
256,0.6,1,4,0.03951455650995411,98.88333333333334,99.15,133.30989718437195
256,0.6,1,5,0.034971790163167205,99.03,98.68,142.0767924785614
256,0.6,1,6,0.027815752352607696,99.18333333333334,98.43,137.09130716323853
256,0.6,1,7,0.02456973827268465,99.29166666666667,99.15,136.43533611297607
256,0.6,1,8,0.022762644033030077,99.375,98.64,139.10441184043884
256,0.6,1,9,0.020882754023679152,99.425,99.15,136.95978212356567
256,0.6,1,10,0.017498877760071797,99.50333333333333,98.33,136.22441267967224
256,0.6,1,11,0.017624344443159298,99.51166666666667,99.33,138.12303614616394
256,0.6,1,12,0.015836102904614426,99.55166666666666,99.11,141.53340911865234
256,0.6,1,13,0.01320444081158828,99.6,98.77,138.6650755405426
256,0.6,1,14,0.013583454179239353,99.60166666666667,99.13,136.27165746688843
256,0.6,1,15,0.01241215941105072,99.63666666666667,99.19,139.33273220062256
,,,Average,,,,139.8996598402659
