batch_size,learning_rate,seed,epoch,train_loss,train_accuracy,test_accuracy,epoch_time
128,0.2,1,1,0.19649921067412507,93.67166666666667,98.61,116.54087042808533
128,0.2,1,2,0.05106842102958753,98.51,99.14,113.81779170036316
128,0.2,1,3,0.03756745349759656,98.90666666666667,98.94,102.06405067443848
128,0.2,1,4,0.03153128723353535,99.08,99.16,101.86148691177368
128,0.2,1,5,0.026893433666336466,99.23833333333333,99.06,101.39065098762512
128,0.2,1,6,0.02338927389908287,99.29,99.14,102.5235869884491
128,0.2,1,7,0.020644874264080945,99.40833333333333,99.34,102.48134684562683
128,0.2,1,8,0.017568647549878906,99.485,99.37,102.29205775260925
128,0.2,1,9,0.015921269573641292,99.52833333333334,99.2,98.6751070022583
128,0.2,1,10,0.013234278745773938,99.58833333333334,99.05,98.03423929214478
128,0.2,1,11,0.0125134459053358,99.61666666666666,99.37,99.01879239082336
128,0.2,1,12,0.010833688509124,99.68833333333333,99.13,79.92500376701355
128,0.2,1,13,0.010401132559198896,99.69166666666666,99.14,63.27366518974304
128,0.2,1,14,0.009179359454014909,99.72333333333333,99.34,63.1545946598053
128,0.2,1,15,0.00823080526361552,99.72166666666666,99.17,44.11067485809326
,,,Average,,,,92.61092796325684
