batch_size,learning_rate,seed,epoch,train_loss,train_accuracy,test_accuracy,epoch_time
256,0.4,1,1,0.4140319508282428,87.30333333333333,97.26,18.730116605758667
256,0.4,1,2,0.14850618829752538,95.68,98.18,21.64408040046692
256,0.4,1,3,0.1195959062335339,96.46833333333333,98.46,24.825576543807983
256,0.4,1,4,0.10486981798597472,96.895,98.45,34.59196853637695
256,0.4,1,5,0.09367059214793622,97.23333333333333,98.66,40.02979302406311
256,0.4,1,6,0.08379065206551806,97.53666666666666,98.43,42.219074010849
256,0.4,1,7,0.07965003107773497,97.66666666666667,98.7,41.98583364486694
256,0.4,1,8,0.07633467729976202,97.81166666666667,98.75,40.99053955078125
256,0.4,1,9,0.07231560039948276,97.86333333333333,98.85,42.295148849487305
256,0.4,1,10,0.07184890913281669,97.90833333333333,98.55,45.8108172416687
256,0.4,1,11,0.06741011779993139,97.99666666666667,98.72,44.480616331100464
256,0.4,1,12,0.06606628963961564,98.04333333333334,98.85,43.60407757759094
256,0.4,1,13,0.0644203265356098,98.15333333333334,98.82,37.80130743980408
256,0.4,1,14,0.06380595730895057,98.08833333333334,98.82,35.92988133430481
256,0.4,1,15,0.05961984713819433,98.23333333333333,98.79,35.40502190589905
,,,Average,,,,36.68959019978841
